[2026-09-18 11:54:27.032] [info]  [serialport] event=serialport.connect status=started scope=all
[2026-09-18 11:54:27.051] [debug] [serialport] event=serialport.connect status=success boardName=board1 port=COM3
[2026-09-18 11:54:27.057] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=24 message="[RAW:ENC:HASTE_ENC:7837beb94673b821a143615f:6655762172d883dbf637fda3d3aa6e0e:3f36e5302db0e73e8617b6eccdfa6059f957244ccdadf73d2f63353d5fb37de529297d87268e0663bf2cc606518d]"
[2026-09-18 11:54:34.106] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:815043032913319f5acb87f1:6d97c4f0b5fde9c9ac6d25f94d9e147d:cd5e31899b7ff830acffc6747e54785226a041794931fbee71abc7e77ae6cb6e5ee30928]"
[2026-09-18 11:54:35.121] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:9538c59c719763d3e70c4e81:3ac89c235c6d8a96fb291d207524ec0c:79a9195041dbb3da72c8a7d166a8e289a2b322514ff613a6a646abb30c24693b4957250b]"
[2026-09-18 11:54:35.329] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:32c5390707ef93dfd55b5e00:46ff9b6668eeb9e9abbb6f57e95a823c:685a3b96f6b4bda885ab64d9d490881db6df2be1c1e72e383c9c2543fcc3e510a22555c5]"
[2026-09-18 11:54:36.337] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:6f906f7f05b2af1e68423ff5:2858360ae7318eedfa9aaade4d1558ad:ad83ac5881d7f7f6527b745284e7df629472426ae24a3065f626ddc2d6f0dc1a653b508d]"
[2026-09-18 11:54:36.366] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=78 message="[RAW:ENC:HASTE_ENC:4bdc924f5b2d3d5a2d67bf80:2d955c119542278fffb41b6f81d1a667:b9b577fbd2d31b410c1ad7cce0520796fea4e9bbdbd3b41c2df6fd63f396381809dff518d3d9fb73cd1c51261d4d729c034f1ad5d8cf810946af8d7fa02b966be1cb8d082f1e4c5ae6c301f9ba627a2613682e7c5b046bf8a4cd0662c64fbb72eb6d657d]"
[2026-09-18 11:54:36.572] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:064eb572016b3dca9f25e5a8:8806c65d19ab004c15f0bb3ff75abb9e:4c47eb62602511d80d752ecbd264fc5101216c38a0114a07a9a9e2ad32fabdb1eb717588]"
[2026-09-18 11:54:36.778] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=14 message="[RAW:ENC:HASTE_ENC:3a530ea4f1d18365efdd5f15:8ba658ec24fab842e3ec54a2309fc703:638f8725bdc47486df8b9201bdeca435832c9af52644486d4c5431eb5baa6235b2831fe1]"
[2026-09-18 11:54:36.902] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:2b5928ecf449eda9d9930725:a1e7f68b9fc55e6209345d5c1db8e27a:398bde24a56ceb81d0dbef62136166965735c6ab6e2d1735068b5e512da04908]"
[2026-09-18 11:54:37.026] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:ccae47af9398a65a4479f1f3:5f65487e9a9059c382fb2c8e9e4adf6c:2f346b43454675ccded3ee686f18c17aeb525e05c07360cbc7f04b523f7f346d]"
