[2026-09-22 15:07:14.551] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:f164f4636ba46c5e0608d8e3:1b25f688289100096599f396043fae6d:ec21b5d062d4d54d1b4a17f432917fa6d3bbe54d7ed480cd1e15bbd441edd7a9]"
[2026-09-22 15:07:14.692] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:199a91878837722c65257609:e34eb439ccd081ab5386f8d068409cd9:35ada1512183d814c17dc74ae6810bf3ad97443b75b58f10bd823dd9e5c7bcd7]"
[2026-09-22 15:07:14.807] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:602072ea14d8ed18a8368b5f:9663a4d7adb32a12ea8fdf0b4549e54f:3c0294fb34cc231eb0c7ceae7cf5ecddb08d84b0069c1de9fd37c8b648161359]"
[2026-09-22 15:07:14.889] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:8c56f0ff717f313096afde88:b57145a6aaaead3f5e2586c8eab56419:9615a0a089e18ba6fdcd635a11d58335f17a60f20cafd8f092e40d735253b8a9]"
[2026-09-22 15:07:15.008] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:94d363dbc1f16102e3290871:5074fdb5fa62f789150c295ab3f0e9b7:18f866c534e8007dc6bb8bded27d9d2241aba470fd66d8eaaabdea35ce295d1c]"
[2026-09-22 15:07:15.141] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:35c2402bab284cca7c691a67:0d9b8570ec26acd5cb58d17db0c3a8ab:c07ed221f05512c5d48840933d5961bf8b263a7eadf4c6296907ff69762ef0b7]"
[2026-09-22 15:07:15.222] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:d7f618666f0c2fe65f956670:4b7a4045829b21206aa5fecbe2c8054e:0812e7899825a761581d708c872678e39e6eac80f4723e617108ffade6ab4c4e]"
[2026-09-22 15:07:15.341] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:86b7c841e02f5aaafa6e6bae:9ad87784fa1ebf95facc74dd4e5b7555:5b6f7518232194792050cc8836f35f05f1735f34a2c6cfef0d1569af794ffb60]"
[2026-09-22 15:07:15.460] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:b0e67aa6d59ba5a4c6bf8608:5cf9bf4336b86a88ed975b66e8ea1900:f2251a5e8fdba08070b1aa170519d0be737a113ceab0dd94e74c71392534b5bc]"
[2026-09-22 15:07:15.559] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:44f21513751523e3beb8f0b1:2e3bb4db151e159b8e5602fae9c4c7a6:b647b489a295597075577b8a35f7d6961cc3e5f438c9bb28075ba426a9b5a366]"
[2026-09-22 15:07:15.674] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:b5b6feadda0e105c573fbbf8:c3b7b77a7a22aebead1fc8a1969562d2:f4c79ca1392403c3bcd5e320c0a07b61d15b12830ce1756127792dbf56f0c6cf]"
[2026-09-22 15:07:15.785] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:46f5c1b7379159934092a986:7a266a5e9f4276651e4baeb57ae14fa5:6846d94f608322d79fb34e3b4000aa997b02366cd07fd6123924680dbc3c9cff]"
[2026-09-22 15:07:15.889] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:d1bf8095ea0ee3cad67cac4e:8841bdc20387d8de2271ea864d338ba3:a2ccc717efd3a92e54a8700cbf6476aee8f599e7663cd6caa3d2cbce68d5fa95]"
[2026-09-22 15:07:15.994] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:132fed79351b3cbd4ec754af:a76d8f34a832fb2f6a9b190d9eeb02a8:337b433ab19d5c4c9edea1cc84350f59cbd199c836e1394a1a2d28e5323614ab]"
[2026-09-22 15:07:16.128] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:77e3fbd4fdea2d47d1f6cde9:0edd2886cbe05b253104173cac9cf1ab:7f9271f73b1087f490e5c4afc0b915bdf8451e77a41833c532f004058cbad097]"
[2026-09-22 15:07:16.226] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:65b7e19d552acf7b59dcf15b:9c3661d9e63d31f52a3bc9d0523380ed:d476d820bcea60377290730b2ddaffacb4b447f6472ce871597de4903b943f9d]"
[2026-09-22 15:07:16.333] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:df91cf1a559c7d7a3b4a5f6d:e427a2b1f16ad65669039295a36fd69f:f4ec49408b092141a00b8198db42a80e6f9b13ae70bc2b568552114d8f948b78]"
[2026-09-22 15:07:16.449] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:b8254d92c8b43c1514dd7499:ebdb1953edb8407b1ceaa4bec4e747e7:56dbeb3197f0f232e052608bb347833c97808c2cfb2ce5f8a96d22eea5b92e95]"
[2026-09-22 15:07:16.552] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:9146334c22a087798c9b9c75:726b19fdc42c837a0f396d3220b783a5:a891e719dd94098e085f8c3f0f91640f098f1e75f8088218181aafb77b885831]"
[2026-09-22 15:07:16.660] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:d22f8d729e6b1e8e5829d9a6:f1fa4931bacf573140a0083e2b2cd2bc:4234dc96c01aea5bd05ad88443cc8280c8656be782e8ae74d36ff90e77171d8c]"
[2026-09-22 15:07:16.785] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:85bdd6c2c2048108952dc9a4:7e74c56665c950f8ffa7c05edf4817b2:2e0422ed8f84db875587a3278d4188c11ddbf1c8f66e2611d28724f298b8e5f0]"
[2026-09-22 15:07:16.885] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:2c66d15b1a2a2e11071c784b:d599d711f0c6c84aec6781a037a59bc6:0a461a05a30f6cbd4cceaf973d6d570caf28e7cac4ee6acdfb1434a6b498d0b6]"
